,Year_text,Location,Subcategory_ID,volume_litres,RSP
154,2017,3.0,11,11249784305.375,21309591426.44811
155,2017,3.0,12,5350817943.147,6494779020.882035
156,2017,3.0,13,23661524998.953,48040035604.54319
157,2017,3.0,14,2897702200.3120003,19856959280.881992
158,2017,3.0,15,2773605.62212,37606652.725009896
159,2017,3.0,16,383532.16232,1158.5867403416667
160,2017,3.0,17,61245.356083,190764.22386508196
161,2017,4.0,1,48567266.309,403405660.9747551
162,2017,4.0,2,17949037.156,150572478.36422223
163,2017,4.0,3,61991060.236999996,196971594.6240161
164,2017,4.0,4,31069347655.53,108485213912.98453
165,2017,4.0,6,56128752.156,255586282.1389286
166,2017,4.0,7,88028336.114,258083076.33422723
167,2017,4.0,8,31131338717.011,108683182501.11432
168,2017,4.0,9,66516303.466,553971602.000418
169,2017,4.0,10,2590843388.793,14942096780.676882
170,2017,4.0,11,27789628953.622,92233768497.20496
171,2017,4.0,12,688875306.326,1305763.643050444
172,2017,4.0,13,31342012099.577,109752042369.75224
173,2017,4.0,14,2090431930.401,17035519922.770254
174,2017,4.0,15,1670023.518103,37449527.38289775
175,2017,4.0,16,319143.302846,2160.9703264807526
176,2017,4.0,17,123117.05583699999,513488.20849090244
177,2017,5.0,1,30503146.224000003,190890657.01470968
178,2017,5.0,2,3046818.216,37577424.664000005
179,2017,5.0,3,1786242.0890000002,6251847.311500001
180,2017,5.0,4,12080134859.029999,35637397845.30232
181,2017,5.0,5,1139807681.1999998,1632724511.754035
182,2017,5.0,6,639152072.87,2174517.380937997
183,2017,5.0,7,1396253372.581,2747498577.7077417
184,2017,5.0,8,12081921100.630001,35644767226.6145
185,2017,5.0,9,1173357645.5489998,1863568025.2837055
186,2017,5.0,10,1801168791.29,8444791379.040956
187,2017,5.0,11,9540917437.22,25806776679.838223
188,2017,5.0,12,738048629.4860001,1386091.3285468782
189,2017,5.0,13,15290684192.112,42428123705.913284
190,2017,5.0,14,1052037764.6799998,15504556562.356194
191,2017,5.0,15,626218.091299,18759.533332476272
192,2017,5.0,16,235214.409167,1644.499039410132
193,2017,5.0,17,377984.41354800004,1552.935963598
194,2017,6.0,1,1500480500.012,12446985907.766212
195,2017,6.0,2,679266281.057,4574793.3774280725
196,2017,6.0,3,364734935.86300004,1680778.526360455
197,2017,6.0,4,23261618074.72,93511464664.31482
198,2017,6.0,6,227410589.94799998,1896423.9945883877
199,2017,6.0,7,108590000.008,458269724.8044036
200,2017,6.0,8,23626353006.12,95196422349.00504
201,2017,6.0,9,2179746781.0369997,17014023498.222744
202,2017,6.0,10,5318328560.378,30935911185.921978
203,2017,6.0,11,12001630119.79,43836648991.11432
204,2017,6.0,12,5941659392.837999,18739925728.908943
205,2017,6.0,13,26142100379.95,114565439906.24174
206,2017,6.0,14,3516552606.366,51096499244.561195
207,2017,6.0,15,1974515.4894670001,72952098.86906682
208,2017,6.0,16,900955.370118,6517.677139211014
209,2017,6.0,17,167219.234476,1139.4939451119042
210,2017,7.0,1,2142656069.11,12454000931.793821
211,2017,7.0,2,1383424880.69,7439284770.565099
212,2017,7.0,3,1088822959.168,4571256721.135075
213,2017,7.0,4,21663922401.97,102368633325.66777
